"AIC","BIC","LogLikelihood","MSE..Forecast.vs.Actual.","MAE..Forecast.vs.Actual.","Q.Stat..p.0.05.","ARCH.LM..p.0.05.","Asset","Model"
-4.00920884863434,-4.00485466091341,12396.4645511287,0.00191265060274658,0.0355290736407724,0.01844672644901,5.56280590441219e-77,"NVDA","sGARCH_norm"
-4.89732756747813,-4.8929733797572,15141.6395110749,0.000210552286649829,0.010252342963261,2.68599721270357e-05,1.27572402652846e-13,"AAPL","sGARCH_norm"
-4.45722961710825,-4.45287542938732,13781.2967464816,0.000463805314633778,0.0141375844404439,0.0187756647835514,3.67555342692968e-65,"AMZN","sGARCH_norm"
-2.34265134781457,-2.31698798876169,837.983879821986,0.00452805993775574,0.043427404159061,4.55796527232266e-06,0.863779028971741,"DJT","sGARCH_norm"
-5.05365611225511,-5.04930192453419,15624.8510429806,0.000765691790847661,0.0178452530284168,1.27068913902129e-06,2.14825985602864e-21,"PDCO","sGARCH_norm"
-2.7521126916437,-2.72938041826293,1147.50282337796,0.0144587905790352,0.106889091231161,0.472228021385481,0.999999999970778,"MLGO","sGARCH_norm"
-7.61592472738869,-7.61033626444437,17543.4746471761,1.20803943586499e-05,0.00252326363083933,0.347227637509205,3.61993818336894e-89,"EURUSD","sGARCH_norm"
-7.51815603351725,-7.51256757057294,17318.3133451902,1.38631840476181e-05,0.00299122183446701,4.16975782258078e-06,7.84267643497373e-62,"GBPUSD","sGARCH_norm"
-7.53706694705646,-7.53147848411214,17361.865179071,1.94365603449775e-05,0.00342863619634253,0.00580007607267929,5.06079170083162e-49,"GBPCNY","sGARCH_norm"
-6.33223219383772,-6.3266437308934,14587.1307424083,4.20398104458727e-05,0.00489835374451866,0.0158129402632372,2.6890895405389e-124,"USDZAR","sGARCH_norm"
-6.511972089324,-6.50638362637968,15001.0717217132,4.21853857448372e-05,0.00499377097056283,0.0261956131960959,1.02433511625038e-84,"GBPZAR","sGARCH_norm"
-6.57260092304499,-6.56701246010067,15140.6999257726,5.28745828356572e-05,0.00537991023277973,0.313638608269748,9.7222151746889e-66,"EURZAR","sGARCH_norm"
-4.19631616065406,-4.18978487907267,12976.8132525817,0.00190823971090837,0.0354954471209515,0.0184467264490101,1.12615123135939e-76,"NVDA","sGARCH_sstd"
-4.99926295616995,-4.99273167458856,15458.7217975213,0.000210151453844064,0.0102981667034463,2.68599721270357e-05,1.30016847788647e-13,"AAPL","sGARCH_sstd"
-4.70924384027242,-4.70271255869103,14562.272710282,0.00046368885992244,0.014136311583392,0.0187756647835514,3.78328602579032e-65,"AMZN","sGARCH_sstd"
-3.22991144521942,-3.19141640664011,1155.84847449811,0.00458410892625278,0.0447396856942477,4.55796527232266e-06,0.867981529576061,"DJT","sGARCH_sstd"
-5.31680467020963,-5.31027338862824,16440.243235618,0.000766042116864386,0.0178579357915829,1.27068913902129e-06,2.20187166924856e-21,"PDCO","sGARCH_sstd"
-5.50591563180615,-5.47181722173499,2293.70794501545,0.0144517932103639,0.106860507466091,0.472228021385481,0.999999999970789,"MLGO","sGARCH_sstd"
-7.6611736133823,-7.65279091896583,17649.6828316194,1.21069906729645e-05,0.002524894802968,0.347227637509204,3.04177271275087e-89,"EURUSD","sGARCH_sstd"
-7.56389940722229,-7.55551671280581,17425.6603348329,1.38703344161945e-05,0.00299175582780468,4.16975782258078e-06,7.78793435269122e-62,"GBPUSD","sGARCH_sstd"
-7.57834696080109,-7.56996426638461,17458.9330507249,1.94390582493594e-05,0.00342887710773084,0.00580007607267918,5.12242182143299e-49,"GBPCNY","sGARCH_sstd"
-6.36317690117284,-6.35479420675637,14660.3964034011,4.20332663411635e-05,0.00489765334686223,0.0158129402632373,2.73815703782128e-124,"USDZAR","sGARCH_sstd"
-6.55512098303799,-6.54673828862151,15102.4436239365,4.21854652082594e-05,0.00499383598873547,0.0261956131960959,1.02056725270026e-84,"GBPZAR","sGARCH_sstd"
-6.62430713134694,-6.61592443693046,15261.779323492,5.28835360406184e-05,0.00538250671827449,0.313638608269748,8.91120005022701e-66,"EURZAR","sGARCH_sstd"
-4.20537887354733,-4.19775904503571,13005.8260981348,0.00190737774828764,0.0354879332949174,0.01844672644901,1.32696524322326e-76,"NVDA","gjrGARCH"
-5.00566574217558,-4.99804591366396,15479.5128090647,0.000210010475551287,0.0103233465925082,2.68599721270357e-05,1.31228114308551e-13,"AAPL","gjrGARCH"
-4.72102356447509,-4.71340373596347,14599.6838377925,0.000462351675222212,0.0141214334271844,0.0187756647835514,5.30750834564857e-65,"AMZN","gjrGARCH"
-3.23600952114164,-3.19109864279911,1159.01938952642,0.00457720163946078,0.0445961017910823,4.55796527232266e-06,0.867581082027164,"DJT","gjrGARCH"
-5.31915694330634,-5.31153711479472,16448.5141117599,0.000766094043013015,0.0178597220907764,1.27068913902129e-06,2.20986552205815e-21,"PDCO","gjrGARCH"
-5.50813062819757,-5.46834914978122,2295.62827601609,0.0144480866770019,0.106845359017592,0.472228021385481,0.999999999970794,"MLGO","gjrGARCH"
-7.66093876678578,-7.65115895663322,17650.1419799076,1.21228018028136e-05,0.00252584937344457,0.347227637509204,2.7516816395433e-89,"EURUSD","gjrGARCH"
-7.56463285386698,-7.55485304371442,17428.3494624556,1.3918718726997e-05,0.00299532069508627,4.16975782258078e-06,7.43969232788392e-62,"GBPUSD","gjrGARCH"
-7.58073147207617,-7.57095166192361,17465.4245801914,1.94590200061486e-05,0.00343148613956939,0.00580007607267918,5.6197756005909e-49,"GBPCNY","gjrGARCH"
-6.36735294629605,-6.35757313614349,14671.0138353198,4.23129642314216e-05,0.00492622498864429,0.0158129402632372,1.34815763168732e-124,"USDZAR","gjrGARCH"
-6.55734867049593,-6.54756886034338,15108.5739881521,4.22051043727529e-05,0.00500519013539578,0.0261956131960959,5.42176246390748e-85,"GBPZAR","gjrGARCH"
-6.62869292768954,-6.61891311753698,15272.879812469,5.29430980812139e-05,0.00539670612393874,0.313638608269748,5.61261290057909e-66,"EURZAR","gjrGARCH"
-4.21646594605094,-4.20884611753932,13040.0962392435,0.00190690685876693,0.0354836524422023,0.01844672644901,1.45853289352857e-76,"NVDA","eGARCH"
-5.0137130440789,-5.00609321556728,15504.3870192479,0.000209958339345788,0.0103349113373389,2.68599721270357e-05,1.31773443393258e-13,"AAPL","eGARCH"
-4.73708779573663,-4.72946796722501,14649.3383766219,0.000462028293751625,0.0141177594932188,0.0187756647835514,5.77164306092046e-65,"AMZN","eGARCH"
-3.14023267222379,-3.09532179388125,1124.92283131167,0.0045765438691758,0.044582326502707,4.55796527232266e-06,0.867541905372202,"DJT","eGARCH"
-5.33796920479721,-5.33034937628559,16506.6628120282,0.000766130082030734,0.0178609491407403,1.27068913902129e-06,2.21542157802362e-21,"PDCO","eGARCH"
-4.9953567898789,-4.95557531146255,2082.57074619468,0.014415288478177,0.106711086365594,0.472228021385481,0.999999999970842,"MLGO","eGARCH"
-7.66225651488981,-7.65247670473726,17653.1767537912,1.21488370131152e-05,0.00252739780655772,0.347227637509204,2.34470694604123e-89,"EURUSD","eGARCH"
-7.56888427878725,-7.55910446863469,17438.140494047,1.39904726552844e-05,0.00300046087016414,4.16975782258078e-06,6.98655972565588e-62,"GBPUSD","eGARCH"
-7.58405463695652,-7.57427482680397,17473.0778289109,1.94842529865883e-05,0.00343721572325787,0.00580007607267918,6.26894901460279e-49,"GBPCNY","eGARCH"
-6.3658890489009,-6.35610923874835,14667.6424796188,4.23695987989104e-05,0.00493170530188093,0.0158129402632371,1.18495573225055e-124,"USDZAR","eGARCH"
